1,3,3,4,4,2,2,4,2,3,5,5,
2,3,5,5,2,4,5,4,4,4,5,5,
3,3,4,4,4,3,4,4,4,4,5,3,
4,2,4,4,2,4,6,4,4,2,6,2,
5,2,6,5,4,3,5,6,4,6,6,3,
6,1,5,4,2,4,2,4,4,2,6,2,
7,1,2,2,4,2,2,2,4,3,5,3,
8,1,4,4,6,6,2,4,6,2,6,2,
9,3,2,3,4,4,3,4,4,5,4,4,
10,1,4,6,5,6,2,3,6,5,2,6,
11,3,4,2,4,4,2,4,6,2,5,2,
12,2,6,5,4,3,2,6,4,6,2,4,
13,3,4,2,4,3,4,5,4,4,3,4,
14,1,4,5,4,5,3,4,4,4,3,4,
15,3,5,5,4,4,4,4,6,4,4,2,
16,1,5,5,3,4,3,4,6,3,4,5,
17,2,2,5,2,5,3,4,6,3,2,3,
18,2,5,6,4,4,3,4,4,2,1,2,
19,3,6,3,2,1,6,6,3,4,6,1,
20,1,4,5,4,6,2,2,5,4,5,4,
21,1,4,5,2,6,2,4,6,5,4,4,
22,0,6,3,2,2,2,2,3,3,6,2,
23,2,2,2,2,2,5,3,3,2,6,3,
24,2,4,5,6,5,2,4,6,5,5,5,
25,1,4,5,6,5,3,4,6,5,4,4,
26,2,4,4,4,4,4,4,4,4,6,2,
27,1,5,4,4,2,3,3,4,3,6,2,
28,3,5,4,4,4,4,4,6,4,5,3,
29,3,6,2,2,2,6,4,4,6,6,2,
30,3,6,3,1,1,6,6,3,3,6,1,
31,4,3,3,4,5,4,3,5,5,5,2,
32,4,4,4,4,4,4,4,6,4,5,1,
33,4,3,2,3,1,6,4,5,4,6,1,
34,1,6,6,4,2,6,6,5,5,6,1,
35,3,4,6,6,6,3,4,6,6,4,4,
36,3,3,4,4,4,3,4,4,4,5,2,
37,1,5,5,4,4,2,3,5,4,6,2,
38,3,4,5,4,2,6,5,5,2,4,4,
39,4,4,4,2,2,6,5,2,2,6,5,
40,3,5,6,4,6,3,4,6,6,5,3,
41,3,4,4,2,2,6,4,4,4,6,2,
42,1,3,3,3,2,2,2,5,4,1,5,
43,1,5,5,2,2,2,2,2,2,6,4,
44,4,4,4,2,5,4,5,2,4,4,4,
45,1,5,5,3,2,2,2,4,4,6,4,
46,4,2,2,4,3,5,3,5,4,6,2,
47,3,4,4,4,5,4,4,6,2,4,5,
48,1,5,6,5,5,2,2,6,6,6,4,
49,3,4,3,2,3,6,5,4,6,6,3,
50,2,5,6,4,3,5,6,5,6,6,4,
51,3,5,5,4,2,4,2,6,6,4,2,
52,3,5,4,4,4,6,6,3,4,6,1,
53,1,4,4,5,2,2,4,4,6,6,5,
54,4,5,3,5,2,6,6,2,3,6,2,
55,1,2,2,4,2,2,2,2,2,6,6,
56,0,6,6,3,2,2,3,3,2,6,2,
57,3,5,5,5,4,4,5,5,4,5,2,
58,2,4,5,4,4,4,3,4,6,6,5,
59,1,5,5,6,6,1,3,6,1,1,2,
60,3,5,4,3,4,6,4,2,6,6,2,
61,3,4,5,4,5,2,4,5,3,4,4,
62,4,3,4,4,4,2,3,5,4,3,3,
63,1,4,5,4,4,2,4,5,4,6,4,
64,3,6,6,5,6,2,6,6,4,5,4,
65,2,4,2,2,2,5,4,2,2,6,3,
66,1,4,4,3,4,4,4,4,3,6,4,
67,1,4,5,5,5,2,2,5,3,4,5,
68,1,4,5,4,5,2,4,3,4,4,3,
69,2,4,6,3,4,4,4,5,4,4,2,
70,4,6,5,3,3,5,6,4,3,6,2,
71,1,4,4,2,4,5,3,4,5,6,2,
72,1,5,4,4,5,2,4,6,5,5,5,
73,2,4,4,6,4,2,4,5,4,5,2,
74,1,1,3,4,2,2,2,4,5,6,4,
